,Home,Away,ScoreHome,ScoreAway,Season,NonPenaltyGoalsHome,AgeHome,Goals90minHome,NonPenaltyGoalsAway,AgeAway,Goals90minAway,RankingPlaceHome,GoalForHome,GoalAgainstHome,GoalDifferenceHome,PointsHome,TopTeamScorerGoalsHome,RankingPlaceAway,GoalForAway,GoalAgainstAway,GoalDifferenceAway,PointsAway,TopTeamScorerGoalsAway,HomeT,AwayT
28,Vålerenga,Grand Bodø,2.0,0.0,2017,38.0,25.8,38.0,29.0,22.7,30.0,7.0,38.0,33.0,5.0,34.0,7.0,11.0,30.0,80.0,-50.0,8.0,11.0,14,3
29,Kolbotn,Grand Bodø,2.0,0.0,2017,16.0,21.9,16.0,29.0,22.7,30.0,10.0,17.0,43.0,-26.0,15.0,5.0,11.0,30.0,80.0,-50.0,8.0,11.0,6,3
30,Stabæk,Grand Bodø,5.0,1.0,2017,44.0,25.5,44.0,29.0,22.7,30.0,3.0,46.0,23.0,23.0,43.0,11.0,11.0,30.0,80.0,-50.0,8.0,11.0,12,3
31,Klepp,Grand Bodø,4.0,2.0,2017,31.0,23.5,33.0,29.0,22.7,30.0,4.0,34.0,24.0,10.0,40.0,14.0,11.0,30.0,80.0,-50.0,8.0,11.0,5,3
32,Sandviken,Grand Bodø,6.0,2.0,2017,23.0,24.4,23.0,29.0,22.7,30.0,9.0,23.0,34.0,-11.0,18.0,6.0,11.0,30.0,80.0,-50.0,8.0,11.0,11,3
33,Medkila,Avaldsnes,0.0,2.0,2017,9.0,20.9,9.0,48.0,25.5,49.0,12.0,9.0,69.0,-60.0,5.0,3.0,2.0,51.0,17.0,34.0,48.0,11.0,9,1
34,Grand Bodø,Avaldsnes,2.0,3.0,2017,29.0,22.7,30.0,48.0,25.5,49.0,11.0,30.0,80.0,-50.0,8.0,11.0,2.0,51.0,17.0,34.0,48.0,11.0,3,1
35,Røa,Avaldsnes,3.0,3.0,2017,42.0,22.8,42.0,48.0,25.5,49.0,5.0,42.0,28.0,14.0,37.0,17.0,2.0,51.0,17.0,34.0,48.0,11.0,10,1
36,LSK Kvinner,Avaldsnes,1.0,0.0,2017,65.0,24.2,67.0,48.0,25.5,49.0,1.0,68.0,18.0,50.0,59.0,18.0,2.0,51.0,17.0,34.0,48.0,11.0,7,1
37,Trondheims-Ørn,Avaldsnes,1.0,3.0,2017,36.0,22.1,36.0,48.0,25.5,49.0,8.0,36.0,36.0,0.0,30.0,8.0,2.0,51.0,17.0,34.0,48.0,11.0,13,1
38,Arna-Bjørnar,Avaldsnes,0.0,3.0,2017,36.0,22.0,37.0,48.0,25.5,49.0,6.0,39.0,28.0,11.0,35.0,7.0,2.0,51.0,17.0,34.0,48.0,11.0,0,1
39,Vålerenga,Avaldsnes,0.0,1.0,2017,38.0,25.8,38.0,48.0,25.5,49.0,7.0,38.0,33.0,5.0,34.0,7.0,2.0,51.0,17.0,34.0,48.0,11.0,14,1
40,Kolbotn,Avaldsnes,1.0,5.0,2017,16.0,21.9,16.0,48.0,25.5,49.0,10.0,17.0,43.0,-26.0,15.0,5.0,2.0,51.0,17.0,34.0,48.0,11.0,6,1
41,Stabæk,Avaldsnes,2.0,1.0,2017,44.0,25.5,44.0,48.0,25.5,49.0,3.0,46.0,23.0,23.0,43.0,11.0,2.0,51.0,17.0,34.0,48.0,11.0,12,1
42,Klepp,Avaldsnes,1.0,0.0,2017,31.0,23.5,33.0,48.0,25.5,49.0,4.0,34.0,24.0,10.0,40.0,14.0,2.0,51.0,17.0,34.0,48.0,11.0,5,1
43,Sandviken,Avaldsnes,0.0,1.0,2017,23.0,24.4,23.0,48.0,25.5,49.0,9.0,23.0,34.0,-11.0,18.0,6.0,2.0,51.0,17.0,34.0,48.0,11.0,11,1
44,Medkila,Vålerenga,1.0,6.0,2017,9.0,20.9,9.0,38.0,25.8,38.0,12.0,9.0,69.0,-60.0,5.0,3.0,7.0,38.0,33.0,5.0,34.0,7.0,9,14
45,Avaldsnes,Vålerenga,2.0,1.0,2017,48.0,25.5,49.0,38.0,25.8,38.0,2.0,51.0,17.0,34.0,48.0,11.0,7.0,38.0,33.0,5.0,34.0,7.0,1,14
