,Home,Away,ScoreHome,ScoreAway,Season,NonPenaltyGoalsHome,AgeHome,Goals90minHome,NonPenaltyGoalsAway,AgeAway,Goals90minAway,RankingPlaceHome,GoalForHome,GoalAgainstHome,GoalDifferenceHome,PointsHome,TopTeamScorerGoalsHome,RankingPlaceAway,GoalForAway,GoalAgainstAway,GoalDifferenceAway,PointsAway,TopTeamScorerGoalsAway,HomeT,AwayT
124,LSK Kvinner,Medkila,3.0,1.0,2017,65.0,24.2,67.0,9.0,20.9,9.0,1.0,68.0,18.0,50.0,59.0,18.0,12.0,9.0,69.0,-60.0,5.0,3.0,7,9
125,Trondheims-Ørn,Medkila,3.0,0.0,2017,36.0,22.1,36.0,9.0,20.9,9.0,8.0,36.0,36.0,0.0,30.0,8.0,12.0,9.0,69.0,-60.0,5.0,3.0,13,9
126,Arna-Bjørnar,Medkila,6.0,0.0,2017,36.0,22.0,37.0,9.0,20.9,9.0,6.0,39.0,28.0,11.0,35.0,7.0,12.0,9.0,69.0,-60.0,5.0,3.0,0,9
127,Vålerenga,Medkila,3.0,1.0,2017,38.0,25.8,38.0,9.0,20.9,9.0,7.0,38.0,33.0,5.0,34.0,7.0,12.0,9.0,69.0,-60.0,5.0,3.0,14,9
128,Kolbotn,Medkila,2.0,0.0,2017,16.0,21.9,16.0,9.0,20.9,9.0,10.0,17.0,43.0,-26.0,15.0,5.0,12.0,9.0,69.0,-60.0,5.0,3.0,6,9
129,Stabæk,Medkila,6.0,1.0,2017,44.0,25.5,44.0,9.0,20.9,9.0,3.0,46.0,23.0,23.0,43.0,11.0,12.0,9.0,69.0,-60.0,5.0,3.0,12,9
130,Klepp,Medkila,2.0,0.0,2017,31.0,23.5,33.0,9.0,20.9,9.0,4.0,34.0,24.0,10.0,40.0,14.0,12.0,9.0,69.0,-60.0,5.0,3.0,5,9
131,Sandviken,Medkila,1.0,1.0,2017,23.0,24.4,23.0,9.0,20.9,9.0,9.0,23.0,34.0,-11.0,18.0,6.0,12.0,9.0,69.0,-60.0,5.0,3.0,11,9
132,Sandviken,Kolbotn,0.0,1.0,2018,40.0,26.4,40.0,32.0,21.2,34.0,4.0,42.0,29.0,13.0,39.0,15.0,5.0,34.0,35.0,-1.0,39.0,9.0,11,6
133,Klepp,Kolbotn,2.0,1.0,2018,37.0,25.1,39.0,32.0,21.2,34.0,2.0,39.0,21.0,18.0,48.0,10.0,5.0,34.0,35.0,-1.0,39.0,9.0,5,6
134,Grand Bodø,Kolbotn,1.0,2.0,2018,18.0,23.4,19.0,32.0,21.2,34.0,12.0,20.0,61.0,-41.0,8.0,5.0,5.0,34.0,35.0,-1.0,39.0,9.0,3,6
135,Røa,Kolbotn,1.0,2.0,2018,38.0,22.7,40.0,32.0,21.2,34.0,7.0,42.0,42.0,0.0,32.0,14.0,5.0,34.0,35.0,-1.0,39.0,9.0,10,6
136,Vålerenga,Kolbotn,2.0,3.0,2018,32.0,25.6,36.0,32.0,21.2,34.0,6.0,37.0,35.0,2.0,33.0,9.0,5.0,34.0,35.0,-1.0,39.0,9.0,14,6
137,Arna-Bjørnar,Kolbotn,1.0,1.0,2018,51.0,21.9,52.0,32.0,21.2,34.0,3.0,53.0,26.0,27.0,39.0,15.0,5.0,34.0,35.0,-1.0,39.0,9.0,0,6
138,LSK Kvinner,Kolbotn,5.0,1.0,2018,64.0,24.1,68.0,32.0,21.2,34.0,1.0,71.0,15.0,56.0,61.0,21.0,5.0,34.0,35.0,-1.0,39.0,9.0,7,6
139,Trondheims-Ørn,Kolbotn,2.0,2.0,2018,24.0,21.8,25.0,32.0,21.2,34.0,10.0,25.0,48.0,-23.0,18.0,10.0,5.0,34.0,35.0,-1.0,39.0,9.0,13,6
140,Stabæk,Kolbotn,1.0,2.0,2018,29.0,23.6,29.0,32.0,21.2,34.0,8.0,29.0,37.0,-8.0,23.0,9.0,5.0,34.0,35.0,-1.0,39.0,9.0,12,6
141,Avaldsnes,Kolbotn,0.0,0.0,2018,21.0,24.0,24.0,32.0,21.2,34.0,9.0,24.0,38.0,-14.0,21.0,5.0,5.0,34.0,35.0,-1.0,39.0,9.0,1,6
142,Lyn,Kolbotn,0.0,1.0,2018,24.0,19.8,26.0,32.0,21.2,34.0,11.0,27.0,56.0,-29.0,12.0,9.0,5.0,34.0,35.0,-1.0,39.0,9.0,8,6
143,Sandviken,Trondheims-Ørn,3.0,1.0,2018,40.0,26.4,40.0,24.0,21.8,25.0,4.0,42.0,29.0,13.0,39.0,15.0,10.0,25.0,48.0,-23.0,18.0,10.0,11,13
144,Klepp,Trondheims-Ørn,1.0,0.0,2018,37.0,25.1,39.0,24.0,21.8,25.0,2.0,39.0,21.0,18.0,48.0,10.0,10.0,25.0,48.0,-23.0,18.0,10.0,5,13
145,Grand Bodø,Trondheims-Ørn,2.0,1.0,2018,18.0,23.4,19.0,24.0,21.8,25.0,12.0,20.0,61.0,-41.0,8.0,5.0,10.0,25.0,48.0,-23.0,18.0,10.0,3,13
146,Røa,Trondheims-Ørn,2.0,1.0,2018,38.0,22.7,40.0,24.0,21.8,25.0,7.0,42.0,42.0,0.0,32.0,14.0,10.0,25.0,48.0,-23.0,18.0,10.0,10,13
147,Vålerenga,Trondheims-Ørn,0.0,1.0,2018,32.0,25.6,36.0,24.0,21.8,25.0,6.0,37.0,35.0,2.0,33.0,9.0,10.0,25.0,48.0,-23.0,18.0,10.0,14,13
148,Arna-Bjørnar,Trondheims-Ørn,6.0,1.0,2018,51.0,21.9,52.0,24.0,21.8,25.0,3.0,53.0,26.0,27.0,39.0,15.0,10.0,25.0,48.0,-23.0,18.0,10.0,0,13
149,LSK Kvinner,Trondheims-Ørn,5.0,0.0,2018,64.0,24.1,68.0,24.0,21.8,25.0,1.0,71.0,15.0,56.0,61.0,21.0,10.0,25.0,48.0,-23.0,18.0,10.0,7,13
150,Stabæk,Trondheims-Ørn,2.0,0.0,2018,29.0,23.6,29.0,24.0,21.8,25.0,8.0,29.0,37.0,-8.0,23.0,9.0,10.0,25.0,48.0,-23.0,18.0,10.0,12,13
151,Avaldsnes,Trondheims-Ørn,2.0,0.0,2018,21.0,24.0,24.0,24.0,21.8,25.0,9.0,24.0,38.0,-14.0,21.0,5.0,10.0,25.0,48.0,-23.0,18.0,10.0,1,13
152,Lyn,Trondheims-Ørn,2.0,3.0,2018,24.0,19.8,26.0,24.0,21.8,25.0,11.0,27.0,56.0,-29.0,12.0,9.0,10.0,25.0,48.0,-23.0,18.0,10.0,8,13
153,Kolbotn,Trondheims-Ørn,3.0,3.0,2018,32.0,21.2,34.0,24.0,21.8,25.0,5.0,34.0,35.0,-1.0,39.0,9.0,10.0,25.0,48.0,-23.0,18.0,10.0,6,13
154,Sandviken,Avaldsnes,1.0,0.0,2018,40.0,26.4,40.0,21.0,24.0,24.0,4.0,42.0,29.0,13.0,39.0,15.0,9.0,24.0,38.0,-14.0,21.0,5.0,11,1
155,Klepp,Avaldsnes,2.0,1.0,2018,37.0,25.1,39.0,21.0,24.0,24.0,2.0,39.0,21.0,18.0,48.0,10.0,9.0,24.0,38.0,-14.0,21.0,5.0,5,1
156,Grand Bodø,Avaldsnes,0.0,1.0,2018,18.0,23.4,19.0,21.0,24.0,24.0,12.0,20.0,61.0,-41.0,8.0,5.0,9.0,24.0,38.0,-14.0,21.0,5.0,3,1
157,Røa,Avaldsnes,2.0,0.0,2018,38.0,22.7,40.0,21.0,24.0,24.0,7.0,42.0,42.0,0.0,32.0,14.0,9.0,24.0,38.0,-14.0,21.0,5.0,10,1
158,Vålerenga,Avaldsnes,2.0,1.0,2018,32.0,25.6,36.0,21.0,24.0,24.0,6.0,37.0,35.0,2.0,33.0,9.0,9.0,24.0,38.0,-14.0,21.0,5.0,14,1
159,Arna-Bjørnar,Avaldsnes,4.0,1.0,2018,51.0,21.9,52.0,21.0,24.0,24.0,3.0,53.0,26.0,27.0,39.0,15.0,9.0,24.0,38.0,-14.0,21.0,5.0,0,1
160,LSK Kvinner,Avaldsnes,4.0,0.0,2018,64.0,24.1,68.0,21.0,24.0,24.0,1.0,71.0,15.0,56.0,61.0,21.0,9.0,24.0,38.0,-14.0,21.0,5.0,7,1
161,Trondheims-Ørn,Avaldsnes,1.0,1.0,2018,24.0,21.8,25.0,21.0,24.0,24.0,10.0,25.0,48.0,-23.0,18.0,10.0,9.0,24.0,38.0,-14.0,21.0,5.0,13,1
162,Stabæk,Avaldsnes,4.0,2.0,2018,29.0,23.6,29.0,21.0,24.0,24.0,8.0,29.0,37.0,-8.0,23.0,9.0,9.0,24.0,38.0,-14.0,21.0,5.0,12,1
163,Lyn,Avaldsnes,2.0,2.0,2018,24.0,19.8,26.0,21.0,24.0,24.0,11.0,27.0,56.0,-29.0,12.0,9.0,9.0,24.0,38.0,-14.0,21.0,5.0,8,1
164,Kolbotn,Avaldsnes,2.0,0.0,2018,32.0,21.2,34.0,21.0,24.0,24.0,5.0,34.0,35.0,-1.0,39.0,9.0,9.0,24.0,38.0,-14.0,21.0,5.0,6,1
165,Sandviken,Klepp,1.0,0.0,2018,40.0,26.4,40.0,37.0,25.1,39.0,4.0,42.0,29.0,13.0,39.0,15.0,2.0,39.0,21.0,18.0,48.0,10.0,11,5
166,Grand Bodø,Klepp,3.0,5.0,2018,18.0,23.4,19.0,37.0,25.1,39.0,12.0,20.0,61.0,-41.0,8.0,5.0,2.0,39.0,21.0,18.0,48.0,10.0,3,5
167,Røa,Klepp,0.0,1.0,2018,38.0,22.7,40.0,37.0,25.1,39.0,7.0,42.0,42.0,0.0,32.0,14.0,2.0,39.0,21.0,18.0,48.0,10.0,10,5
168,Vålerenga,Klepp,1.0,1.0,2018,32.0,25.6,36.0,37.0,25.1,39.0,6.0,37.0,35.0,2.0,33.0,9.0,2.0,39.0,21.0,18.0,48.0,10.0,14,5
169,Arna-Bjørnar,Klepp,0.0,0.0,2018,51.0,21.9,52.0,37.0,25.1,39.0,3.0,53.0,26.0,27.0,39.0,15.0,2.0,39.0,21.0,18.0,48.0,10.0,0,5
170,LSK Kvinner,Klepp,2.0,3.0,2018,64.0,24.1,68.0,37.0,25.1,39.0,1.0,71.0,15.0,56.0,61.0,21.0,2.0,39.0,21.0,18.0,48.0,10.0,7,5
171,Trondheims-Ørn,Klepp,0.0,1.0,2018,24.0,21.8,25.0,37.0,25.1,39.0,10.0,25.0,48.0,-23.0,18.0,10.0,2.0,39.0,21.0,18.0,48.0,10.0,13,5
172,Stabæk,Klepp,0.0,1.0,2018,29.0,23.6,29.0,37.0,25.1,39.0,8.0,29.0,37.0,-8.0,23.0,9.0,2.0,39.0,21.0,18.0,48.0,10.0,12,5
173,Avaldsnes,Klepp,1.0,2.0,2018,21.0,24.0,24.0,37.0,25.1,39.0,9.0,24.0,38.0,-14.0,21.0,5.0,2.0,39.0,21.0,18.0,48.0,10.0,1,5
174,Lyn,Klepp,0.0,1.0,2018,24.0,19.8,26.0,37.0,25.1,39.0,11.0,27.0,56.0,-29.0,12.0,9.0,2.0,39.0,21.0,18.0,48.0,10.0,8,5
175,Kolbotn,Klepp,3.0,1.0,2018,32.0,21.2,34.0,37.0,25.1,39.0,5.0,34.0,35.0,-1.0,39.0,9.0,2.0,39.0,21.0,18.0,48.0,10.0,6,5
176,Sandviken,Vålerenga,3.0,0.0,2018,40.0,26.4,40.0,32.0,25.6,36.0,4.0,42.0,29.0,13.0,39.0,15.0,6.0,37.0,35.0,2.0,33.0,9.0,11,14
177,Klepp,Vålerenga,3.0,0.0,2018,37.0,25.1,39.0,32.0,25.6,36.0,2.0,39.0,21.0,18.0,48.0,10.0,6.0,37.0,35.0,2.0,33.0,9.0,5,14
178,Grand Bodø,Vålerenga,1.0,2.0,2018,18.0,23.4,19.0,32.0,25.6,36.0,12.0,20.0,61.0,-41.0,8.0,5.0,6.0,37.0,35.0,2.0,33.0,9.0,3,14
179,Røa,Vålerenga,2.0,1.0,2018,38.0,22.7,40.0,32.0,25.6,36.0,7.0,42.0,42.0,0.0,32.0,14.0,6.0,37.0,35.0,2.0,33.0,9.0,10,14
180,Arna-Bjørnar,Vålerenga,3.0,2.0,2018,51.0,21.9,52.0,32.0,25.6,36.0,3.0,53.0,26.0,27.0,39.0,15.0,6.0,37.0,35.0,2.0,33.0,9.0,0,14
181,LSK Kvinner,Vålerenga,2.0,0.0,2018,64.0,24.1,68.0,32.0,25.6,36.0,1.0,71.0,15.0,56.0,61.0,21.0,6.0,37.0,35.0,2.0,33.0,9.0,7,14
182,Trondheims-Ørn,Vålerenga,1.0,3.0,2018,24.0,21.8,25.0,32.0,25.6,36.0,10.0,25.0,48.0,-23.0,18.0,10.0,6.0,37.0,35.0,2.0,33.0,9.0,13,14
183,Stabæk,Vålerenga,0.0,1.0,2018,29.0,23.6,29.0,32.0,25.6,36.0,8.0,29.0,37.0,-8.0,23.0,9.0,6.0,37.0,35.0,2.0,33.0,9.0,12,14
184,Avaldsnes,Vålerenga,0.0,3.0,2018,21.0,24.0,24.0,32.0,25.6,36.0,9.0,24.0,38.0,-14.0,21.0,5.0,6.0,37.0,35.0,2.0,33.0,9.0,1,14
185,Lyn,Vålerenga,1.0,1.0,2018,24.0,19.8,26.0,32.0,25.6,36.0,11.0,27.0,56.0,-29.0,12.0,9.0,6.0,37.0,35.0,2.0,33.0,9.0,8,14
186,Kolbotn,Vålerenga,3.0,1.0,2018,32.0,21.2,34.0,32.0,25.6,36.0,5.0,34.0,35.0,-1.0,39.0,9.0,6.0,37.0,35.0,2.0,33.0,9.0,6,14
187,Sandviken,Lyn,6.0,0.0,2018,40.0,26.4,40.0,24.0,19.8,26.0,4.0,42.0,29.0,13.0,39.0,15.0,11.0,27.0,56.0,-29.0,12.0,9.0,11,8
188,Klepp,Lyn,3.0,2.0,2018,37.0,25.1,39.0,24.0,19.8,26.0,2.0,39.0,21.0,18.0,48.0,10.0,11.0,27.0,56.0,-29.0,12.0,9.0,5,8
189,Grand Bodø,Lyn,1.0,0.0,2018,18.0,23.4,19.0,24.0,19.8,26.0,12.0,20.0,61.0,-41.0,8.0,5.0,11.0,27.0,56.0,-29.0,12.0,9.0,3,8
190,Røa,Lyn,1.0,2.0,2018,38.0,22.7,40.0,24.0,19.8,26.0,7.0,42.0,42.0,0.0,32.0,14.0,11.0,27.0,56.0,-29.0,12.0,9.0,10,8
191,Vålerenga,Lyn,6.0,1.0,2018,32.0,25.6,36.0,24.0,19.8,26.0,6.0,37.0,35.0,2.0,33.0,9.0,11.0,27.0,56.0,-29.0,12.0,9.0,14,8
192,Arna-Bjørnar,Lyn,2.0,1.0,2018,51.0,21.9,52.0,24.0,19.8,26.0,3.0,53.0,26.0,27.0,39.0,15.0,11.0,27.0,56.0,-29.0,12.0,9.0,0,8
193,LSK Kvinner,Lyn,2.0,1.0,2018,64.0,24.1,68.0,24.0,19.8,26.0,1.0,71.0,15.0,56.0,61.0,21.0,11.0,27.0,56.0,-29.0,12.0,9.0,7,8
194,Trondheims-Ørn,Lyn,1.0,1.0,2018,24.0,21.8,25.0,24.0,19.8,26.0,10.0,25.0,48.0,-23.0,18.0,10.0,11.0,27.0,56.0,-29.0,12.0,9.0,13,8
195,Stabæk,Lyn,5.0,0.0,2018,29.0,23.6,29.0,24.0,19.8,26.0,8.0,29.0,37.0,-8.0,23.0,9.0,11.0,27.0,56.0,-29.0,12.0,9.0,12,8
196,Avaldsnes,Lyn,3.0,0.0,2018,21.0,24.0,24.0,24.0,19.8,26.0,9.0,24.0,38.0,-14.0,21.0,5.0,11.0,27.0,56.0,-29.0,12.0,9.0,1,8
197,Kolbotn,Lyn,1.0,0.0,2018,32.0,21.2,34.0,24.0,19.8,26.0,5.0,34.0,35.0,-1.0,39.0,9.0,11.0,27.0,56.0,-29.0,12.0,9.0,6,8
198,Sandviken,Stabæk,1.0,3.0,2018,40.0,26.4,40.0,29.0,23.6,29.0,4.0,42.0,29.0,13.0,39.0,15.0,8.0,29.0,37.0,-8.0,23.0,9.0,11,12
199,Klepp,Stabæk,2.0,0.0,2018,37.0,25.1,39.0,29.0,23.6,29.0,2.0,39.0,21.0,18.0,48.0,10.0,8.0,29.0,37.0,-8.0,23.0,9.0,5,12
200,Grand Bodø,Stabæk,0.0,3.0,2018,18.0,23.4,19.0,29.0,23.6,29.0,12.0,20.0,61.0,-41.0,8.0,5.0,8.0,29.0,37.0,-8.0,23.0,9.0,3,12
201,Røa,Stabæk,2.0,0.0,2018,38.0,22.7,40.0,29.0,23.6,29.0,7.0,42.0,42.0,0.0,32.0,14.0,8.0,29.0,37.0,-8.0,23.0,9.0,10,12
202,Vålerenga,Stabæk,5.0,0.0,2018,32.0,25.6,36.0,29.0,23.6,29.0,6.0,37.0,35.0,2.0,33.0,9.0,8.0,29.0,37.0,-8.0,23.0,9.0,14,12
203,Arna-Bjørnar,Stabæk,6.0,2.0,2018,51.0,21.9,52.0,29.0,23.6,29.0,3.0,53.0,26.0,27.0,39.0,15.0,8.0,29.0,37.0,-8.0,23.0,9.0,0,12
204,LSK Kvinner,Stabæk,1.0,0.0,2018,64.0,24.1,68.0,29.0,23.6,29.0,1.0,71.0,15.0,56.0,61.0,21.0,8.0,29.0,37.0,-8.0,23.0,9.0,7,12
205,Trondheims-Ørn,Stabæk,1.0,0.0,2018,24.0,21.8,25.0,29.0,23.6,29.0,10.0,25.0,48.0,-23.0,18.0,10.0,8.0,29.0,37.0,-8.0,23.0,9.0,13,12
206,Avaldsnes,Stabæk,2.0,0.0,2018,21.0,24.0,24.0,29.0,23.6,29.0,9.0,24.0,38.0,-14.0,21.0,5.0,8.0,29.0,37.0,-8.0,23.0,9.0,1,12
207,Lyn,Stabæk,2.0,3.0,2018,24.0,19.8,26.0,29.0,23.6,29.0,11.0,27.0,56.0,-29.0,12.0,9.0,8.0,29.0,37.0,-8.0,23.0,9.0,8,12
208,Kolbotn,Stabæk,1.0,1.0,2018,32.0,21.2,34.0,29.0,23.6,29.0,5.0,34.0,35.0,-1.0,39.0,9.0,8.0,29.0,37.0,-8.0,23.0,9.0,6,12
209,Sandviken,Røa,5.0,3.0,2018,40.0,26.4,40.0,38.0,22.7,40.0,4.0,42.0,29.0,13.0,39.0,15.0,7.0,42.0,42.0,0.0,32.0,14.0,11,10
210,Klepp,Røa,2.0,1.0,2018,37.0,25.1,39.0,38.0,22.7,40.0,2.0,39.0,21.0,18.0,48.0,10.0,7.0,42.0,42.0,0.0,32.0,14.0,5,10
211,Grand Bodø,Røa,1.0,3.0,2018,18.0,23.4,19.0,38.0,22.7,40.0,12.0,20.0,61.0,-41.0,8.0,5.0,7.0,42.0,42.0,0.0,32.0,14.0,3,10
212,Vålerenga,Røa,2.0,1.0,2018,32.0,25.6,36.0,38.0,22.7,40.0,6.0,37.0,35.0,2.0,33.0,9.0,7.0,42.0,42.0,0.0,32.0,14.0,14,10
213,Arna-Bjørnar,Røa,2.0,0.0,2018,51.0,21.9,52.0,38.0,22.7,40.0,3.0,53.0,26.0,27.0,39.0,15.0,7.0,42.0,42.0,0.0,32.0,14.0,0,10
214,LSK Kvinner,Røa,6.0,2.0,2018,64.0,24.1,68.0,38.0,22.7,40.0,1.0,71.0,15.0,56.0,61.0,21.0,7.0,42.0,42.0,0.0,32.0,14.0,7,10
215,Trondheims-Ørn,Røa,1.0,0.0,2018,24.0,21.8,25.0,38.0,22.7,40.0,10.0,25.0,48.0,-23.0,18.0,10.0,7.0,42.0,42.0,0.0,32.0,14.0,13,10
216,Stabæk,Røa,1.0,3.0,2018,29.0,23.6,29.0,38.0,22.7,40.0,8.0,29.0,37.0,-8.0,23.0,9.0,7.0,42.0,42.0,0.0,32.0,14.0,12,10
217,Avaldsnes,Røa,2.0,2.0,2018,21.0,24.0,24.0,38.0,22.7,40.0,9.0,24.0,38.0,-14.0,21.0,5.0,7.0,42.0,42.0,0.0,32.0,14.0,1,10
218,Lyn,Røa,3.0,4.0,2018,24.0,19.8,26.0,38.0,22.7,40.0,11.0,27.0,56.0,-29.0,12.0,9.0,7.0,42.0,42.0,0.0,32.0,14.0,8,10
219,Kolbotn,Røa,0.0,2.0,2018,32.0,21.2,34.0,38.0,22.7,40.0,5.0,34.0,35.0,-1.0,39.0,9.0,7.0,42.0,42.0,0.0,32.0,14.0,6,10
220,Sandviken,Grand Bodø,4.0,1.0,2018,40.0,26.4,40.0,18.0,23.4,19.0,4.0,42.0,29.0,13.0,39.0,15.0,12.0,20.0,61.0,-41.0,8.0,5.0,11,3
221,Klepp,Grand Bodø,6.0,0.0,2018,37.0,25.1,39.0,18.0,23.4,19.0,2.0,39.0,21.0,18.0,48.0,10.0,12.0,20.0,61.0,-41.0,8.0,5.0,5,3
222,Røa,Grand Bodø,4.0,1.0,2018,38.0,22.7,40.0,18.0,23.4,19.0,7.0,42.0,42.0,0.0,32.0,14.0,12.0,20.0,61.0,-41.0,8.0,5.0,10,3
223,Vålerenga,Grand Bodø,3.0,2.0,2018,32.0,25.6,36.0,18.0,23.4,19.0,6.0,37.0,35.0,2.0,33.0,9.0,12.0,20.0,61.0,-41.0,8.0,5.0,14,3
224,Arna-Bjørnar,Grand Bodø,5.0,0.0,2018,51.0,21.9,52.0,18.0,23.4,19.0,3.0,53.0,26.0,27.0,39.0,15.0,12.0,20.0,61.0,-41.0,8.0,5.0,0,3
225,LSK Kvinner,Grand Bodø,2.0,0.0,2018,64.0,24.1,68.0,18.0,23.4,19.0,1.0,71.0,15.0,56.0,61.0,21.0,12.0,20.0,61.0,-41.0,8.0,5.0,7,3
226,Trondheims-Ørn,Grand Bodø,0.0,0.0,2018,24.0,21.8,25.0,18.0,23.4,19.0,10.0,25.0,48.0,-23.0,18.0,10.0,12.0,20.0,61.0,-41.0,8.0,5.0,13,3
227,Stabæk,Grand Bodø,2.0,0.0,2018,29.0,23.6,29.0,18.0,23.4,19.0,8.0,29.0,37.0,-8.0,23.0,9.0,12.0,20.0,61.0,-41.0,8.0,5.0,12,3
228,Avaldsnes,Grand Bodø,3.0,3.0,2018,21.0,24.0,24.0,18.0,23.4,19.0,9.0,24.0,38.0,-14.0,21.0,5.0,12.0,20.0,61.0,-41.0,8.0,5.0,1,3
229,Lyn,Grand Bodø,2.0,1.0,2018,24.0,19.8,26.0,18.0,23.4,19.0,11.0,27.0,56.0,-29.0,12.0,9.0,12.0,20.0,61.0,-41.0,8.0,5.0,8,3
230,Kolbotn,Grand Bodø,3.0,2.0,2018,32.0,21.2,34.0,18.0,23.4,19.0,5.0,34.0,35.0,-1.0,39.0,9.0,12.0,20.0,61.0,-41.0,8.0,5.0,6,3
231,Sandviken,Arna-Bjørnar,1.0,1.0,2018,40.0,26.4,40.0,51.0,21.9,52.0,4.0,42.0,29.0,13.0,39.0,15.0,3.0,53.0,26.0,27.0,39.0,15.0,11,0
232,Klepp,Arna-Bjørnar,1.0,2.0,2018,37.0,25.1,39.0,51.0,21.9,52.0,2.0,39.0,21.0,18.0,48.0,10.0,3.0,53.0,26.0,27.0,39.0,15.0,5,0
233,Grand Bodø,Arna-Bjørnar,0.0,4.0,2018,18.0,23.4,19.0,51.0,21.9,52.0,12.0,20.0,61.0,-41.0,8.0,5.0,3.0,53.0,26.0,27.0,39.0,15.0,3,0
234,Røa,Arna-Bjørnar,2.0,2.0,2018,38.0,22.7,40.0,51.0,21.9,52.0,7.0,42.0,42.0,0.0,32.0,14.0,3.0,53.0,26.0,27.0,39.0,15.0,10,0
235,Vålerenga,Arna-Bjørnar,1.0,1.0,2018,32.0,25.6,36.0,51.0,21.9,52.0,6.0,37.0,35.0,2.0,33.0,9.0,3.0,53.0,26.0,27.0,39.0,15.0,14,0
236,LSK Kvinner,Arna-Bjørnar,2.0,0.0,2018,64.0,24.1,68.0,51.0,21.9,52.0,1.0,71.0,15.0,56.0,61.0,21.0,3.0,53.0,26.0,27.0,39.0,15.0,7,0
237,Trondheims-Ørn,Arna-Bjørnar,2.0,6.0,2018,24.0,21.8,25.0,51.0,21.9,52.0,10.0,25.0,48.0,-23.0,18.0,10.0,3.0,53.0,26.0,27.0,39.0,15.0,13,0
238,Stabæk,Arna-Bjørnar,2.0,2.0,2018,29.0,23.6,29.0,51.0,21.9,52.0,8.0,29.0,37.0,-8.0,23.0,9.0,3.0,53.0,26.0,27.0,39.0,15.0,12,0
239,Avaldsnes,Arna-Bjørnar,1.0,0.0,2018,21.0,24.0,24.0,51.0,21.9,52.0,9.0,24.0,38.0,-14.0,21.0,5.0,3.0,53.0,26.0,27.0,39.0,15.0,1,0
240,Lyn,Arna-Bjørnar,2.0,1.0,2018,24.0,19.8,26.0,51.0,21.9,52.0,11.0,27.0,56.0,-29.0,12.0,9.0,3.0,53.0,26.0,27.0,39.0,15.0,8,0
241,Kolbotn,Arna-Bjørnar,1.0,4.0,2018,32.0,21.2,34.0,51.0,21.9,52.0,5.0,34.0,35.0,-1.0,39.0,9.0,3.0,53.0,26.0,27.0,39.0,15.0,6,0
242,Sandviken,LSK Kvinner,0.0,0.0,2018,40.0,26.4,40.0,64.0,24.1,68.0,4.0,42.0,29.0,13.0,39.0,15.0,1.0,71.0,15.0,56.0,61.0,21.0,11,7
243,Klepp,LSK Kvinner,0.0,2.0,2018,37.0,25.1,39.0,64.0,24.1,68.0,2.0,39.0,21.0,18.0,48.0,10.0,1.0,71.0,15.0,56.0,61.0,21.0,5,7
244,Grand Bodø,LSK Kvinner,0.0,3.0,2018,18.0,23.4,19.0,64.0,24.1,68.0,12.0,20.0,61.0,-41.0,8.0,5.0,1.0,71.0,15.0,56.0,61.0,21.0,3,7
245,Røa,LSK Kvinner,2.0,5.0,2018,38.0,22.7,40.0,64.0,24.1,68.0,7.0,42.0,42.0,0.0,32.0,14.0,1.0,71.0,15.0,56.0,61.0,21.0,10,7
246,Vålerenga,LSK Kvinner,0.0,5.0,2018,32.0,25.6,36.0,64.0,24.1,68.0,6.0,37.0,35.0,2.0,33.0,9.0,1.0,71.0,15.0,56.0,61.0,21.0,14,7
247,Arna-Bjørnar,LSK Kvinner,0.0,1.0,2018,51.0,21.9,52.0,64.0,24.1,68.0,3.0,53.0,26.0,27.0,39.0,15.0,1.0,71.0,15.0,56.0,61.0,21.0,0,7
248,Trondheims-Ørn,LSK Kvinner,2.0,3.0,2018,24.0,21.8,25.0,64.0,24.1,68.0,10.0,25.0,48.0,-23.0,18.0,10.0,1.0,71.0,15.0,56.0,61.0,21.0,13,7
249,Stabæk,LSK Kvinner,0.0,2.0,2018,29.0,23.6,29.0,64.0,24.1,68.0,8.0,29.0,37.0,-8.0,23.0,9.0,1.0,71.0,15.0,56.0,61.0,21.0,12,7
250,Avaldsnes,LSK Kvinner,1.0,4.0,2018,21.0,24.0,24.0,64.0,24.1,68.0,9.0,24.0,38.0,-14.0,21.0,5.0,1.0,71.0,15.0,56.0,61.0,21.0,1,7
251,Lyn,LSK Kvinner,3.0,4.0,2018,24.0,19.8,26.0,64.0,24.1,68.0,11.0,27.0,56.0,-29.0,12.0,9.0,1.0,71.0,15.0,56.0,61.0,21.0,8,7
252,Kolbotn,LSK Kvinner,0.0,5.0,2018,32.0,21.2,34.0,64.0,24.1,68.0,5.0,34.0,35.0,-1.0,39.0,9.0,1.0,71.0,15.0,56.0,61.0,21.0,6,7
253,Klepp,Sandviken,1.0,1.0,2018,37.0,25.1,39.0,40.0,26.4,40.0,2.0,39.0,21.0,18.0,48.0,10.0,4.0,42.0,29.0,13.0,39.0,15.0,5,11
254,Grand Bodø,Sandviken,1.0,3.0,2018,18.0,23.4,19.0,40.0,26.4,40.0,12.0,20.0,61.0,-41.0,8.0,5.0,4.0,42.0,29.0,13.0,39.0,15.0,3,11
255,Røa,Sandviken,3.0,2.0,2018,38.0,22.7,40.0,40.0,26.4,40.0,7.0,42.0,42.0,0.0,32.0,14.0,4.0,42.0,29.0,13.0,39.0,15.0,10,11
